日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-05-27,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-27,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-27,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-27,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-27,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-28,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-28,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-28,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-28,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-28,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-28,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-28,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-28,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-28,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-29,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-29,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-29,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-29,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-29,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-29,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-29,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-29,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-29,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-29,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-29,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-29,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-29,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-29,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-29,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-30,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-31,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-31,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-31,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-31,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-31,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-31,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-05-31,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-06-01,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-06-01,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-06-01,102900011034354,鲜粽叶(袋)(1),花叶类,1.0,5.9,销售,否,3.3,0.0
2022-06-09,102900011034354,鲜粽叶(袋)(1),花叶类,160.0,5.9,销售,否,3.27,0.0
